2025-11-06 13:06:36,760 - DISCOVERED | https://www.duoc.cl/nosotros/sobre-duoc/transparencia/memoria-anual/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,760 - DISCOVERED | https://www.duoc.cl/reintegros/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,760 - DISCOVERED | https://www.duoc.cl/oferta-academica/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,760 - DISCOVERED | https://www.duoc.cl/vida-estudiantil/convivencia-e-inclusion/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,761 - DISCOVERED | https://www.duoc.cl/internacionalizacion/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,761 - DISCOVERED | https://www.duoc.cl/admision-2025/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,761 - DISCOVERED | https://www.duoc.cl/docentes/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,761 - DISCOVERED | https://www.duoc.cl/colaboradores/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,761 - DISCOVERED | https://www.duoc.cl/vida-estudiantil/pastoral/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,761 - DISCOVERED | https://www.duoc.cl/vida-estudiantil/unidad-de-apoyo-y-bienestar-estudiantil/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,761 - DISCOVERED | https://www.duoc.cl/escuela/gastronomia/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,762 - DISCOVERED | https://www.duoc.cl/semestrecero/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,762 - DISCOVERED | https://www.duoc.cl/wp-content/uploads/2025/10/CALENDARIO-ACADEMICO-2025_v6.pdf | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,762 - DISCOVERED | https://www.duoc.cl/portal-proveedores/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
